G6580|ἀσυνθεσία|asunthesia|breach-of-contract
G6581|ἀσυνθετέω|asuntheteō|to break a contract
G6582|ἀσφαλτόπισσα|asphaltopissa|tar
G6583|ἄσφαλτος|asphaltos|tar
G6584|ἀσφαλτόω|asphaltoō|to apply tar
G6585|ἄσωτος|asōtos|wild
G6586|ἀτάρ|atar|nevertheless
G6587|ἀτείχιστος|ateichistos|unwalled
G6588|ἀτεκνία|ateknia|childlessness
G6589|ἀτεκνόω|ateknoō|be barren
G6590|ἀτιμώρητος|atimōrētos|unpunished
G6591|ἄτρακτος|atraktos|a spindle
G6592|ἀτραπός|atrapos|a short cut
G6593|ἄτρυγος|atrugos|pure
G6594|ἀττάκης|attakēs|a hopping locust
G6595|ἀττέλαβος|attelabos|a small locust
G6596|ἀτυχέω|atucheō|be unfortunate
G6597|αὔγασμα|augasma|a shining
G6598|αὐγέω|augeō|to shine
G6599|αὐθαδίᾳ|authadia|self-sufficiency
G6600|αὐθημερινός|authēmerinos|daily
